key,issuetype,status,resolution,assignee_name,assignee_accountId,parent_key,labels,reporter_name,created,summary
CDM-1,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-79,,Lee Ming Sun,2022-02-22,Create Projected Visits Report + Mechanism for Clinical Operations
CDM-2,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-79,,Lee Ming Sun,2022-02-22,"Generate Visualizations/Tables for Distributions of Sex, Age, Smoking between Cancer/Non-Cancer Subjects in L101-NYU"
CDM-6,Task,Done,Done,Lee Ming Sun,6061edd7b5e5510069241a8f,CDM-80,Functional-Area,Lee Ming Sun,2022-02-17,Science37 Integration With Rave Tested and Approved
CDM-7,Task,Done,Done,Lee Ming Sun,6061edd7b5e5510069241a8f,CDM-80,Functional-Area,Lee Ming Sun,2022-02-15,L201 CRF Approval
CDM-9,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-79,Functional-Area,Lee Ming Sun,2022-02-15,Confirm No Changes are Needed to L101 1/3 Data Cleaning Plan
CDM-10,Goal,To Do,,,,CDM-46,Corporate,Lee Ming Sun,2022-02-15,Identify 2+ New Features and/or Computational Methods to Improve Prediction Through Machine Learning and Strengthen Knowledge Base with 2+ New Patent Applications and/or Publications
CDM-11,Task,Done,Done,Clarice Grant,61eaea2938041c00687fb8cb,,Functional-Area,Lee Ming Sun,2022-02-15,Clinical Data Lock SOP
CDM-12,Goal,To Do,,,,CDM-46,Corporate,Lee Ming Sun,2022-02-15,Achieving Partnership Goals in 2 of 3 Categories
CDM-18,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-79,Functional-Area,Lee Ming Sun,2022-02-15,Finalize Data Cleaning Plan or Data Snapshot Plan
CDM-19,Task,Done,Done,Lee Ming Sun,6061edd7b5e5510069241a8f,CDM-79,Functional-Area,Lee Ming Sun,2022-02-15,NYU Retrospective DTS Documents
CDM-20,Goal,To Do,,,,CDM-46,Corporate,Lee Ming Sun,2022-02-15,Expand Product Portfolio to Multi-Cancer and 1 Other Screening/Diagnostic Opportunities
CDM-22,Goal,To Do,,,,CDM-46,Corporate,Lee Ming Sun,2022-02-15,L201 FPI (by 04/30) and 25% Enrollment Complete (by 12/31)
CDM-24,Goal,To Do,,,,CDM-46,Corporate,Lee Ming Sun,2022-02-15,LDT - Complete Clinical Validation and Infrastructure Readiness for LDT Launch in Q1'23 
CDM-26,Task,Done,Done,Lee Ming Sun,6061edd7b5e5510069241a8f,CDM-80,Functional-Area,Lee Ming Sun,2022-02-15,L201 Initial CDMP April 2022
CDM-27,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-79,Functional-Area,Lee Ming Sun,2022-02-15,Approve L101 1/3 Data Release
CDM-29,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-79,Functional-Area,Lee Ming Sun,2022-02-15,Approve L101 2/3 Data Release
CDM-31,Task,Done,Done,Lee Ming Sun,6061edd7b5e5510069241a8f,,Functional-Area,Lee Ming Sun,2022-02-15,Determine Data Lock Mechanism
CDM-40,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-18,Functional-Area,Lee Ming Sun,2022-02-16,Draft Data Cleaning Plan or Data Snapshot Plan
CDM-41,Task,Dismissed,Done,,,CDM-79,,Lee Ming Sun,2022-02-22,L101 Payments - Unsuccessful Blood Draw
CDM-44,Goal,To Do,,,,CDM-46,Functional-Area,Lee Ming Sun,2022-02-22,Hiring on Pace at >75% of Hiring Plan
CDM-46,Epic,To Do,,,,,Corporate,Lee Ming Sun,2022-02-22,Corporate Goals
CDM-58,Subtask,To Do,,,,CDM-20,Departmental,Lee Ming Sun,2022-02-23,Multi-Cancer Interim Analysis 12/31: Final Recruitment Strategy By February 2022
CDM-59,Subtask,To Do,,,,CDM-20,Departmental,Lee Ming Sun,2022-02-23,Multi-cancer Interim Analysis 12/31: PM IA Timeline by Mid-Year
CDM-60,Subtask,To Do,,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-20,Departmental,Lee Ming Sun,2022-02-23,"Multi-cancer Interim Analysis 12/31: Data Cut on September 01, 2022"
CDM-61,Subtask,To Do,,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-20,Departmental,Lee Ming Sun,2022-02-23,Multi-cancer Interim Analysis 12/31: Data Clean Mid-October
CDM-62,Subtask,To Do,,,,CDM-20,Departmental,Lee Ming Sun,2022-02-23,"Multi-cancer Interim Analysis 12/31: SAP Final by September 01, 2022"
CDM-63,Subtask,To Do,,,,CDM-20,Departmental,Lee Ming Sun,2022-02-23,TOO Work: Identify and Secure 1 TOO Partnership Agreement (USOR or MCI) by July 2022
CDM-64,Subtask,Done,Done,Lee Ming Sun,6061edd7b5e5510069241a8f,CDM-22,Departmental,Lee Ming Sun,2022-02-23,4/30 L201 FPI: EDC Database Live by March 2022
CDM-65,Subtask,To Do,,,,CDM-22,Departmental,Lee Ming Sun,2022-02-23,4/30 L201 FPI: 3 Sites Activated by March 2022
CDM-66,Subtask,To Do,,,,CDM-22,Departmental,Lee Ming Sun,2022-02-23,4/30 L201 FPI: Website Live
CDM-67,Subtask,To Do,,,,CDM-22,Departmental,Lee Ming Sun,2022-02-23,25% L201 Enrollment Complete: Science37 Enrolling
CDM-68,Subtask,To Do,,,,CDM-22,Departmental,Lee Ming Sun,2022-02-23,25% L201 Enrollment Complete: 20 Sites Activated
CDM-69,Subtask,To Do,,,,CDM-24,Departmental,Lee Ming Sun,2022-02-23,L101 2/3 Training in Q3: L101-NYU NC/ 2/3 LC Fully Enrolled
CDM-70,Subtask,To Do,,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-24,Departmental,Lee Ming Sun,2022-02-23,L101 2/3 Training in Q3: Data Clean for 2/3
CDM-71,Subtask,To Do,,,,CDM-24,Departmental,Lee Ming Sun,2022-02-23,L101 2/3 Training in Q3: Analysis Data Ready for Unblind
CDM-72,Subtask,To Do,,,,CDM-24,Departmental,Lee Ming Sun,2022-02-23,L101 2/3 Training in Q3: Classifier Locked / Results Submitted
CDM-73,Subtask,To Do,,,,CDM-24,Departmental,Lee Ming Sun,2022-02-23,L101 1/3 Analysis Complete: Remaining LC Fully Enrolled
CDM-74,Subtask,To Do,,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-24,Departmental,Lee Ming Sun,2022-02-23,L101 1/3 Analysis Complete: Data Clean for 1/3
CDM-75,Subtask,To Do,,,,CDM-24,Departmental,Lee Ming Sun,2022-02-23,L101 1/3 Analysis Complete: AV/CV Abstracts Submitted Q4
CDM-76,Subtask,To Do,,,,CDM-24,Departmental,Lee Ming Sun,2022-02-23,L101 1/3 Analysis Complete: Mock Patient Report
CDM-77,Subtask,To Do,,,,CDM-24,Departmental,Lee Ming Sun,2022-02-23,L101 1/3 Analysis Complete: Soft Publication Submission
CDM-78,Subtask,Done,Done,Clarice Grant,61eaea2938041c00687fb8cb,CDM-44,Functional-Area,Lee Ming Sun,2022-02-23,Hire Research DM
CDM-79,Epic,To Do,,,,,Study,Lee Ming Sun,2022-02-23,DELFI-L101
CDM-80,Epic,To Do,,,,,Study,Lee Ming Sun,2022-02-23,DELFI-L201
CDM-81,Task,Dismissed,Done,,,CDM-79,,Lee Ming Sun,2022-02-23,Early 12 Month Follow Up Report
CDM-84,Task,Done,Done,,,CDM-79,,Lee Ming Sun,2022-02-25,Reports to Program
CDM-86,Task,Dismissed,Done,,,,,Lee Ming Sun,2022-02-25,CDM Team Discussion Topics
CDM-87,Subtask,To Do,,,,CDM-86,,Lee Ming Sun,2022-02-25,Data handling for age-related PHI (e.g. ages >= 90)
CDM-88,Subtask,Done,Done,Lee Ming Sun,6061edd7b5e5510069241a8f,CDM-84,NYU,Lee Ming Sun,2022-02-25,Additional NYU-BLS LIMS Checks
CDM-89,Subtask,Dismissed,Done,Lee Ming Sun,6061edd7b5e5510069241a8f,CDM-84,,Lee Ming Sun,2022-02-25,Check to verify that NYU Screening data has associated CT scans
CDM-90,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-19,,Lee Ming Sun,2022-02-28,Generate Retrospective DTS Shell
CDM-91,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-84,,Lee Ming Sun,2022-02-28,Report to flag datapoints buried due to in-form dynamics
CDM-92,Task,Done,Done,Lee Ming Sun,6061edd7b5e5510069241a8f,CDM-80,,Lee Ming Sun,2022-03-03,Create a spreadsheet for all forms/fields in L201 to facilitate a meeting for critical variables to SDV
CDM-93,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-84,,Lee Ming Sun,2022-03-03,"Report to check for CA.LNHISYN == ""No"" against reported CT data"
CDM-110,Task,Done,Done,,,CDM-79,,Lee Ming Sun,2022-03-10,Study Dashboard Updates
CDM-111,Subtask,Done,Done,,,CDM-110,,Lee Ming Sun,2022-03-10,Priority Subject List Generation
CDM-112,Subtask,Done,Done,Lee Ming Sun,6061edd7b5e5510069241a8f,CDM-110,,Lee Ming Sun,2022-03-10,Add Assigned CRA to Subject Summary Tab
CDM-113,Subtask,Done,Done,,,CDM-110,,Lee Ming Sun,2022-03-10,Figure Out How to Distinguish Unclean Subjects Due to Incomplete Enrollment Visit vs Expected 12 Month Follow Up vs Incomplete 12 Month Follow Up (After Entry)
CDM-114,Subtask,Done,Done,,,CDM-84,,Lee Ming Sun,2022-03-10,CRA Monitoring Tracker for ClinOps
CDM-115,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,,,Lee Ming Sun,2022-03-30,Intro to R
CDM-116,Subtask,To Do,,,,CDM-115,,Lee Ming Sun,2022-03-30,Find a R course that goes over R-Shiny
CDM-117,Subtask,Done,Done,,,CDM-115,,Lee Ming Sun,2022-03-30,Read up on dplyr package
CDM-120,Task,Done,Done,Lee Ming Sun,6061edd7b5e5510069241a8f,,,Lee Ming Sun,2022-03-30,Review FU dataset component data export to ensure all expected variables are being exported
CDM-121,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,,,Lee Ming Sun,2022-03-31,Set up AWS Credentials for Accessing S3
CDM-122,Task,Done,Done,Lee Ming Sun,6061edd7b5e5510069241a8f,CDM-80,,Lee Ming Sun,2022-03-31,EDC Build v2.0
CDM-123,Subtask,To Do,,,,CDM-122,,Lee Ming Sun,2022-03-31,Edit Check Specifications
CDM-124,Subtask,To Do,,,,CDM-122,,Lee Ming Sun,2022-03-31,tSDV Specifications
CDM-125,Subtask,To Do,,,,CDM-122,,Lee Ming Sun,2022-03-31,SUAT
CDM-126,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,,,Lee Ming Sun,2022-04-01,Update System Access Requests Confluence Page
CDM-127,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-84,,Lee Ming Sun,2022-04-01,Non-Qualifying Enrollment CT Scans
CDM-128,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-79,,Lee Ming Sun,2022-04-04,Report Extraction Tracker Metrics
CDM-129,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-79,,Lee Ming Sun,2022-04-04,L101 Query Summary Report
CDM-130,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-79,,Lee Ming Sun,2022-04-07,Azenta Shipping Manifest Generation
CDM-131,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-130,,Lee Ming Sun,2022-04-07,Generate First Shipment
CDM-132,Subtask,Done,Done,,,CDM-130,,Lee Ming Sun,2022-04-07,Generate Second Shipment
CDM-133,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,,Lee Ming Sun,2022-04-13,Validation for DELFI-L201 Smoking History Calculator v1.0
CDM-135,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-79,,Lee Ming Sun,2022-04-14,Inclusion #7 Listing for ClinOps
CDM-136,Task,Done,Done,Lee Ming Sun,6061edd7b5e5510069241a8f,CDM-79,,Lee Ming Sun,2022-04-14,Site Payments Updates
CDM-137,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-79,,Lee Ming Sun,2022-04-14,Death Data Capture Clarification
CDM-138,Task,Dismissed,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-79,UAT,Eric Dixon,2022-04-18,CDM - L101 Medrio Database Update v.12
CDM-139,Task,Dismissed,Done,Eric Dixon,61df05f8ce3652006a2c82d2,,UAT,Eric Dixon,2022-04-18,CDM: L101 Database Update v.12: UAT: BC.BCREFID Field update
CDM-140,UAT Tests,Dismissed,Done,Eric Dixon,61df05f8ce3652006a2c82d2,,UAT,Eric Dixon,2022-04-18,CDM: L101 Database Update v.12: UAT: BC.BCREFID Field update: R1.01
CDM-141,UAT Tests,Dismissed,Done,Eric Dixon,61df05f8ce3652006a2c82d2,,UAT,Eric Dixon,2022-04-18,CDM: L101 Database Update v.12: UAT: BC.BCREFID Field update: R1.02
CDM-142,UAT Tests,Dismissed,Done,Eric Dixon,61df05f8ce3652006a2c82d2,,UAT,Eric Dixon,2022-04-18,CDM: L101 Database Update v.12: UAT: BC.BCREFID Field update: R1.03
CDM-143,Task,Dismissed,Done,Eric Dixon,61df05f8ce3652006a2c82d2,,UAT,Eric Dixon,2022-04-18,CLONE - CDM: L101 Database Update v.12: UAT:
CDM-144,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,DQR_Listings,Lee Ming Sun,2022-04-26,EDC vs LIMS Reconciliation Report
CDM-145,Task,Refining,,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-80,CDM-Tools,Emily Larsen,2022-04-27,L201 Clean Patient Tracker Development
CDM-146,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,DQR_Listings,Lee Ming Sun,2022-04-29,"DELFI-L201 Inclusion 2, 3, 4 Review "
CDM-147,Task,Dismissed,Done,,,CDM-80,DQR_Listings,Lee Ming Sun,2022-05-04,4 Month Follow-Up Visit Tracking
CDM-148,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,DQR_Listings,Lee Ming Sun,2022-05-10,DELFI-L201 Inclusion 5 Review
CDM-149,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,,Lee Ming Sun,2022-05-17,Validation for DELFI-L201 Smoking History Calculator v2.0
CDM-150,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,DQR_Listings,Lee Ming Sun,2022-05-25,DELFI-L201 Exclusion 1 Review
CDM-151,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,DQR_Listings,Lee Ming Sun,2022-05-31,DELFI-L201 Exclusion 2 Review
CDM-152,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-79,DQR_Listings,Lee Ming Sun,2022-05-31,DELFI-L101 12 Month Cancer Status Review
CDM-153,Task,Dismissed,Done,,,,,Lee Ming Sun,2022-06-01,DELFI-L101 NYU Queries
CDM-154,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-79,,Lee Ming Sun,2022-06-02,DELFI-L101 Data Quality Review Manager Updates
CDM-155,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-79,,Lee Ming Sun,2022-06-03,DELFI-L101 Blood Sample Collection Pathology Dates Error Checking
CDM-157,EDC Requirement,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,,,Eric Dixon,2022-06-03,TEST ISSUE (L101 Database Update v.12)
CDM-158,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,DQR_Listings,Lee Ming Sun,2022-06-06,DELFI-L201 Participant Disposition
CDM-159,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,CDM-Tools|DQR_Listings,Lee Ming Sun,2022-06-06,DELFI-L201 Data Quality Review Manager
CDM-160,EDC Requirement,To Do,,,,,,Clarice Grant,2022-06-08,testy
CDM-161,Task,Dismissed,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,,,Lee Ming Sun,2022-06-08,EDC Build Management - Database Specification Comparison
CDM-162,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,,Vincent Puga-Aragon,2022-06-09,EDC-LIMS Reconciliation Update
CDM-163,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,,Vincent Puga-Aragon,2022-06-14,Functionalizing l201_dqr_listings for l201datar pipeline
CDM-164,Task,Dismissed,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,DQR_Listings,Lee Ming Sun,2022-06-23,L201 Subject Validity Verification
CDM-165,Task,Refining,,Lee Ming Sun,6061edd7b5e5510069241a8f,CDM-80,CPT_Component,Lee Ming Sun,2022-07-01,DELFI-L201 Clario Workflow Status Metrics
CDM-166,Task,Refining,,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,CPT_Component,Lee Ming Sun,2022-07-06,DELFI-L201 EDC Page Status Metrics
CDM-167,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-79,DQR_Listings,Lee Ming Sun,2022-07-25,DELFI-L101 Adverse Event Review
CDM-168,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,DQR_Listings,Vincent Puga-Aragon,2022-07-25,DELFI-L201 Consent Review Listing
CDM-169,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,DQR_Listings,Vincent Puga-Aragon,2022-07-25,DELFI-L201 AE Listing
CDM-170,Task,Done,Done,,,,Translational_Research,Erica Peters,2022-08-02,Translational Research: Dashboard v1
CDM-171,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,CPT_Component,Lee Ming Sun,2022-08-03,DELFI-L201 Subject Usability Table
CDM-172,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,,Lee Ming Sun,2022-08-10,L201 Rave EDC Data Entry Metrics
CDM-174,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-80,CPT_Component,Lee Ming Sun,2022-08-11,DELFI-L201 Subject Information Table
CDM-176,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,CPT_Component,Lee Ming Sun,2022-08-17,DELFI-L201 EDC Query Status
CDM-177,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,,Lee Ming Sun,2022-08-22,L201 EDC Query Metrics
CDM-178,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,DQR_Listings,Lee Ming Sun,2022-08-24,DELFI-L201 CT Scan Review
CDM-179,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,DQR_Listings,Lee Ming Sun,2022-08-24,DELFI-L201 Blood Specimen Collection Review
CDM-180,Task,Done,Done,Erica Peters,627d4ac1f29dcb0068f9a5e1,CDM-80,,Lee Ming Sun,2022-08-30,DELFI-L201 tSDV Module Monitoring
CDM-181,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-79,DQR_Listings,Lee Ming Sun,2022-08-31,DELFI-L101 Unassigned Cohort Review
CDM-182,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,,Vincent Puga-Aragon,2022-09-08,L201 Rave EDC SDV Metrics
CDM-183,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,,Translational_Research,Vincent Puga-Aragon,2022-09-09,Investigate JIRA API for TR Dashboard
CDM-184,Task,Refining,,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,,Lee Ming Sun,2022-09-20,DELFI-L201 Derived Clario Workflow Data
CDM-185,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-79,DQR_Listings,Eric Dixon,2022-09-20,DELFI-L101 CRA Metrics Summary 
CDM-186,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-79,DQR_Listings,Eric Dixon,2022-09-20,DELFI-L101 Priority Subjects Tracker
CDM-187,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,,Lee Ming Sun,2022-09-20,DELFI-L201 S37 Integration Data Change Activity Monitoring
CDM-188,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,,,Eric Dixon,2022-09-22,DELFI-L101 CPT Priority column update
CDM-189,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-79,,Eric Dixon,2022-09-26,DELFI-L101 Site Payment Updates for Site 121 & 153
CDM-190,Task,Dismissed,Done,,,,,Lee Ming Sun,2022-09-27,Science Engineering & Technology Presentation
CDM-191,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-152,DQR_Listings,Eric Dixon,2022-09-28,DELFI-L101 12 Month Cancer Outcomes Review Update
CDM-192,Task,Dismissed,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-79,,Eric Dixon,2022-09-29,DELFI-L101 BUG Fix - CRA Metrics Summary 
CDM-193,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,,Lee Ming Sun,2022-09-29,DELFI-L201 Projected 4 Month Follow-Up Listing
CDM-194,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,,Lee Ming Sun,2022-09-29,DELFI-L201 Suspicious Nodule Listing
CDM-195,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,,Lee Ming Sun,2022-09-29,DELFI-L201 PPD Report
CDM-196,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-79,,Lee Ming Sun,2022-10-07,DELFI-L101 Review Protocol Deviations & Manual Exclusions in Preparation for MCED IA Sample Selection
CDM-197,Task,Dismissed,Done,Erica Peters,627d4ac1f29dcb0068f9a5e1,,Translational_Research,Erica Peters,2022-10-07,Translational Research Castor Edit Check Listings
CDM-198,Subtask,Dismissed,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-348,,Eric Dixon,2022-10-11,DELFI-L101 BUG FIX: Cancer Status Review 
CDM-199,Task,Done,Done,,,CDM-79,,Lee Ming Sun,2022-10-13,Review L101 pipeline code for protocol amendment 5 changes
CDM-200,Task,Dismissed,Done,Eric Dixon,61df05f8ce3652006a2c82d2,,,Eric Dixon,2022-10-14,DELFI-L101: Cancer Status Review Dropped Review Status Issue
CDM-201,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,,Vincent Puga-Aragon,2022-10-14,DELFI-L201 Protocol Deviation Review
CDM-202,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,,,Eric Dixon,2022-10-14,DELFI-L101: Cancer Status Review - Refactor date read-write code
CDM-203,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-79,,Lee Ming Sun,2022-10-19,DELFI-L101 Sample Timeline Outputs
CDM-204,Task,Done,Done,Vincent Puga-Aragon,623cee92b75ca80070575861,CDM-80,,Vincent Puga-Aragon,2022-10-19,Clario SFTP to S3 scripts
CDM-205,Task,Done,Done,Lee Ming Sun,6061edd7b5e5510069241a8f,CDM-79,,Lee Ming Sun,2022-10-24,DELFI-L101 Subject Information - Add MCED IA Subjects With Selected Samples
CDM-206,Subtask,Done,Done,Lee Ming Sun,6061edd7b5e5510069241a8f,CDM-199,,Lee Ming Sun,2022-10-26,DELFI-L101 Generate component datasets for BC_MSK & IC_MSK
CDM-207,Subtask,To Do,,,,CDM-205,,Eric Dixon,2022-10-28,Add Samples_Selected_2022_MCED_IA column to CPT
CDM-208,Subtask,Done,Done,Lee Ming Sun,6061edd7b5e5510069241a8f,CDM-199,,Eric Dixon,2022-10-28,DELFI-L101 Export CRF Data
CDM-209,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-199,,Eric Dixon,2022-10-28,DELFI-L101 EDC LIMS Reconciliation - Incorporate MSK Data
CDM-210,Subtask,Dismissed,Done,,,CDM-199,,Lee Ming Sun,2022-10-31,DELFI-L101 Export CRF Metadata - Incorporate MSK Data
CDM-211,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-199,,Eric Dixon,2022-11-02,DELFI-L101 Cancer Status Review - Incorporate MSK Data
CDM-212,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-199,,Eric Dixon,2022-11-02,DELFI-L101 12 Month Cancer Outcomes Review - Incorporate MSK Data
CDM-213,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-341,,Lee Ming Sun,2022-11-03,DQR Listing: Subjects Pending Discontinuation
CDM-214,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-199,,Eric Dixon,2022-11-03,DELFI-L101 Inclusion 2-4 Review - Incorporate MSK Data
CDM-215,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-199,,Eric Dixon,2022-11-03,DELFI-L101 Inclusion 5 Review - Incorporate MSK Data
CDM-216,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-199,,Eric Dixon,2022-11-03,DELFI-L101 Export CRF Data ic_subjects.tsv
CDM-217,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-199,,Eric Dixon,2022-11-04,DELFI-L101 Exclusion 1 Review - Incorporate MSK Data
CDM-218,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-199,,Eric Dixon,2022-11-04,DELFI-L101 Exclusion 2 Review - Incorporate MSK Data
CDM-219,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-199,,Eric Dixon,2022-11-04,DELFI-L101 	 Medrio Calculated Values - Incorporate MSK Data
CDM-220,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-199,,Eric Dixon,2022-11-04,DELFI-L101 Blood Sample Collection Pathology Dates - Incorporate MSK Data
CDM-221,Subtask,Dismissed,Done,,,CDM-199,,Eric Dixon,2022-11-04,DELFI-L101 Report Extraction Date Verification - Incorporate MSK Data
CDM-222,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-199,,Eric Dixon,2022-11-07,DELFI-L101 Inclusion 7 Review - Incorporate MSK Data
